bbq sauce,BBQ Sauce,Diana Sauce
diet pepsi,Diet Pepsi, Pepsi
small pancakes,Pancakes -Small Stack,Biscuitville
tortilla chips guacamole,Tortilla Chips Guacamole,Krunchers
strawberry cheesecake,Cheesecake commercially prepared,none
protein coffee,Doubleshot Coffee & Protein ,Starbucks Coffee
fage plain greek yogurt,0% Greek Yogurt Plain,Fage
over easy egg,1 Egg (over easy medium hard),Steak N' Shake
over medium egg,1 Egg (over easy medium hard),Steak n' Shake
white chicken,1/4 Chicken White,Cowboy Chicken
maxwell house colombian blend coffee,100% Colombian,Maxwell House
over easy eggs,2 Eggs (over easy medium hard),Steak n Shake
subway sandwich,"6"" Subway Club",Subway
alaskan salmon burger pattie,Alaskan Salmon Burgers,Trident Seafoods
blue diamond almond milk,Almond Milk,Blue Diamond
almond and coconut milk,Almond Milk Coconut,Blue Diamond Almond Breeze
silk almond milk,Almond Milk Vanilla,Silk
sea salt and chocolate grapefruit bar,Almond Sea Salt Dark Chocolate Bar,Fairway
hellmans olive oil almonds,Almonds Skinless Sea Salt & Olive Oil,Planters
sliced almonds,Almonds Sliced,It's Delish
alphabet brocolli,Alphabet,Eduardo's
value applesauce,Apple sauce,Clear Value
apple turnover,Apple Turnover,Biscuitville
golden delicious apple,Apple Golden Delicious,Wegmans
baby yellow potatoes,Baby Dutch Yellow Potatoes,Melissa's
baby kale,Baby Kale,Dole
beef and carrots,Babyfood carrots and beef strained - 1 tbsp,USDA
farmland bacon,Bacon,Farmland
oscar mayer bacon,Bacon,Oscar Mayer
egg bacon,Bacon And Egg,Mr. Sub
cream bagel,Bagel and Cream cheese,Denny's
thomas bagel,Bagel Thins,Thomas'
thomas everything bagel,Bagels Everything,Thomas'
thomas plain bagel,Bagels Plain,Thomas'
baked chicken,Baked Chicken,Wg Grinders
baked chicken breast,Baked Chicken Breast,Stouffer's
baked chicken nuggets,baked chicken nuggets,Earth's Best
baked lays,Baked Lays,Zoes Kitchen
potatoes,Baked Potato - 1 skin,USDA
lays barbecue baked chips,Baked Potato Chips Barbecue,Lay's
steak baked potato,Baked Potato with Steak & Cheese,Campbell's
baked sweet potato,baked sweet potato,sizzler
balsamic dressing,Balsamic Dressing,Walden Farms
chiquita banana,Bananas ,Chiquita
sweet baby rays barbecue sauce,Barbecue Sauce, Sweet Baby Rays
basmati rice,Basmati Rice,Dainty Rice
barbecue ranch wendys chicken salad,BBQ Ranch Chicken Salad,Wendy's
bean and cheese tacos,Bean & Cheese Breakfast Tacos,H-E-B
bean burrito,Bean Burrito,Taco Inn
white beans,Beans White,Amigo
japanese curry,Beef and Japanese Mushroom curry,Yo! Sushi
brisket sandwich,Beef Brisket Sandwich,Woody's BBQ
nathans all beef hotdog,Beef Franks,Nathans
beef sandwich,Beef Sandwich,Papa Charlie's
johnsonville sausage,Beef Summer Sausage,Johnsonville
broccoli with white beef,Beef with Broccoli,Crazu Cuisine
hamburger patties,Beef ground 85% lean meat / 15% fat patty cooked pan - 3 oz,USDA
bell peppers,Bell Peppers Green ,Sizzler
for breakfast one belvita blueberry crackers,Belvita Breakfast Blueberry,Nsbisco
berry berry brioche french toast,Berry Berry Brioche French Toast,IHOP
protein powder,Beverages Protein powder whey based - 0.33 cup,USDA
bibimbap,Bibimbap Bowl,Trader Joe's
burger king fish sandwich,Big Fish Sandwich,Burger King
stick crab rangoon fried sesame rice,Biscuit Sausage Egg and Cheese, Jimmy Dean
sausage egg and cheese biscuit,Biscuit Sausage Egg and Cheese, Jimmy Dean
black n bleu restaurant small dinner,Black & Bleu Burger - Dinner Entree,LongHorn Steakhouse
goya black beans,Black beans,Goya
black coffee,Black Coffee,UCC
dole frozen blueberries,Blueberries,Dole
powdered blueberries,Blueberries,Sunsweet
blue berries,Blueberries raw - 50 berries,USDA
frozen strawberries mango and banana,Blueberries Strawberries and Mango Chunks Fresh Frozen,Wymans
bluberry donut,Blueberry Donut,LaMar's Donuts
boil egg,Boiled Egg,Flavors NYC
taco bells hot sauce,Border sauce hot,taco bell
daves killer bread,Bread,Dave's Killer Bread
enriched white bread,Bread Enriched white,Monks'
mrs bairds extra thin bread,Bread Extra Thin Enriched,Mrs Baird's
honey wheat bread,Bread Honey Wheat,Bread Stop
italian bread,Bread Italian,Rotella's Italian
texas toast garlic bread,Bread Texas Toast Garlic,Pepperidge Farm
wheat toast,Bread wheat toasted - 1 oz,USDA
frozen breadstick,Breadstick,Applebee's
breakfast,Breakfast,Villa Fresh Italian Kitchen
breakfast burrito,breakfast burrito,Amy's
brioche bread,Brioche,The Bread Guy Bakery
green giant frozen broccoli,Broccoli,green giant
summer broccoli,Broccoli ,Salad Works
broccoli chicken,Broccoli & Chicken,Sbarro
baked chicken broccoli,Broccoli & Chicken ,Sbarro
broccoli pasta roni,Broccoli Au Gratin,pastaroni
brown gravy,Brown Gravy,Golden Corral
brown rice,Brown Rice - 1 cup,USDA
buffalo chicken,Buffalo Chicken,Burrito Beach
baked chicken fries,Buffalo Chicken Baked Cheese Fries,ledo pizza
bun,Bun - 1 oz,USDA
roll,Bun - 1 roll,USDA
steak beans rice,Burrito Steak Beans & Rice,Don Miguel
two been and cheese burritos,Burritos Been & Cheese 2 Pack,El Monterey
green chile burritos,Burritos Green Chile,DOn Miguel
canned butter,Butter,Giant
land o lakes butter,Butter Salted,and o lakes
buttermilk bread,buttermilk bread,Bohemian Hearth
smart balance buttery spread,Buttery Spread Original,Smart Balance
betty crocker devils food cake,Cake Mix Devil's Food,Betty Crocker
chocolate chip cake,Cake Chocolate Chip,Entenmann's
sponge cake,Cake sponge commercially prepared - 1 oz,USDA
cambells tomato soup,CAMPBELL'S Tomato Soup condensed - 0.5 cup condensed,campbells
snicker bar,Candy Bar,Snickers
dunkin dounuts caramel cream,Caramel Coffee Creamer,Dunkin Donuts
jalepeno kroger carbmaster peach yogurt,Carbmaster Peach Yogurt ,Kroger
soda,Carbonated beverage cola - 1 drink extra large (44 fl oz),USDA
boathouse farms carrots,Carrots,Safeway Farms
frozen mixed up carrots,Carrots 1 (4 Months & Up),wild harvest
baby carrots,Carrots Baby,Publix
raw carrots,Carrots Raw,USDA
chopped carrots,Carrots raw - 1 cup chopped,USDA
silk unsweetened cashew milk,Cashew Milk,Silk
fried okra sweet potato casserole,Casserole Sweet Potato,Betty Crocker
celery sticks,Celery Sticks,Unknown
cooked celery,Celery cooked boiled drained without salt ,USDA
chocolate cereal,cereal,Chocolate Cheerios
cinnamon toast crunch cereal,Cereal,Cinnamon Toast Crunch
akashi cereal,Cereal,kashi
morning blueberry cereal,Cereal Blueberry,Blueberry morning
kelloggs cereal,Cereal Corn Flakes,Kellogg's
lucky charms cereal,Cereal Lucky Charms,Lucky Charms
stop shop brand granola cereal,Cereal Shredded Wheat Bite Size,Stop&Shop
toasted oats cereal greenway,Cereal Toasted Oats,Shoprite
oats cinnamon and honey,Cereal With Real Apples and Cinnamon Bunches,Honey Bunches of Oats
sirlion steak,Charlies Special Sirlion 8 oz,Charlie Brown's Steakhouse
cheddar broccoli,cheddar broccoli,Knorr
kraft cheese,Cheese,Kraft Singles
tomato regular size french lettuce,Cheese & Tomato Pizza Regular Size,uno chicago grill
cheese burger,Cheese Burger,Meijer
cheese cake,cheese cake,Western Sizzlin
cheetos,Cheese Flavored Snacks Crunchy,Cheetos
ginos cheese pizza,Cheese Pan Pizza,Papa Gino's
cheese pizza,Cheese Pizza,Pizza Pizza
cheese stick,cheese stick,Basque
sargento colby jack cheese stick,Cheese Stick Colby-Jack,sargento
toast and cheese,Cheese Toast,Sizzler
mozzarella cheese,Cheese mozzarella whole milk - 1 oz,USDA
market pantry brand cheddar cheese,Cheese Natural Medium Cheddar,Market Pantry
cheese cheeseburger,Cheeseburger,Kroger
mcdonalds cheeseburger,Cheeseburger,McDonalds
mcdonalds cheeseburgers,Cheeseburger,Mcdonalds
garlic lasagna,Cheesy Garlic Lasagna with Meat Sauce,Stouffer's
chefs salad,Chef's Salad,Nature's Table
cherry tomatoes,cherry tomatoes,Sizzler
chocolate chip chewy granola bar,Chewy Chocolate Chip Granola Bar,Nice!
chewy granola bar,Chewy Granola Bar,Spartan
chia seeds,Chia Seeds,All Chia
chicken alfredo,chicken alfredo,Gourmet Dining
chicken and cheese,chicken and cheese,Tacotime
chicken and pasta,chicken and pasta,Mike's Restaurants
boars head chicken broth,CHICKEN BROTH,SHELTON'S
chicken chow mien,chicken chow mien,wong wing
panera chicken cobb salad,Chicken Cobb with Avocado Half Salad,Panera Bread
panera chicken cobb bread,Chicken Cobb with Avocado Whole Salad,Panera Bread
chicken fried rice,Chicken Fried Rice,Rice Gourmet
ore ida foster farms breaded chicken golden fries,Chicken Fries Breaded ,Roundy's
chicken ramen noodles,Chicken Instant Ramen Noodles,Nissin
cambells chicken noodle soup,Chicken Noodle Soup, Campbell's
chicken noodle soup,Chicken Noodle Soup,Campbell's
campbells chicken noodle crackers,Chicken Noodle soup,campbell's
campbells chicken noodle soup,Chicken Noodle Soup,Campbells
market pantry brand chicken nuggets,Chicken Nuggets,Market Pantry
mcdonalds chicken nuggets,Chicken Nuggets,Tyson
chicken pot pie,Chicken pot pie frozen entree prepared,USDA
chicken wheat salad,Chicken Salad Sandwich-Wheat,My Friend's Place
chicken sausage,Chicken Sausage ,Lilydale
chicken tenders,chicken tenders,Country Chicken
chicken teriyaki,chicken teriyaki,Teriyaki Experience
leftover chicken tikka masala,Chicken Tikka Masala,evol
chicken wings,Chicken Wing - 1 serving,USDA
spicy chicken wings,Chicken Wings Hot & Spicy,Perdue
grilled chicken,Chicken broiler or fryers breast skinless boneless meat only cooked grilled - 1 piece,USDA
boiled chicken,Chicken feet boiled - 1 lb,USDA
baked chili,Chili,Applebee's
chili fries,chili fries,Ruby's Diner
sun chips garden flavored salsa,Chips Garden Salsa,Sun Chips
chia pudding,Chocolate Chia Seed Pudding,fresh and co
chocolate chip cookies,Chocolate Chip Cookies,chip mates
homemade chocolate cupcake,Chocolate cupcake,Buffets
tim chocolate dipped donut,Chocolate Dip Yeast Donut,Tim Horton's
chocolate frosted donut,chocolate frosted donut,Dunkin Donuts
chocolate lucky charms,Chocolate Lucky Charms,Lucky Charms
chocolate smoothie,chocolate smoothie,Stonyfield Organic
brown cinnamon sugar oatmeal,Cinnamon Brown Sugar Oatmeal,Good & Delish
cinnamon bun,Cinnamon buns frosted (includes honey buns) - 1 bun,USDA
