bbq sauce,BBQ Sauce,Diana Sauce,513fceb475b8dbbc21000a88,Sauce barbecue - 1 cup,USDA,1,cup,479.88
diet pepsi,Diet Pepsi, Pepsi,536c1c740220c5c30359e90b,Diet,Pepsi,12,fl oz,0
small pancakes,Pancakes -Small Stack,Biscuitville,513fc999927da70408005ab1,Pancakes -Small Stack,Biscuitville,1,serving,300
tortilla chips guacamole,Tortilla Chips Guacamole,Krunchers,51c37b5397c3e6d2728249be,Tortilla Chips Guacamole,Krunchers!,1,oz,140
strawberry cheesecake,Cheesecake commercially prepared,none,513fceb775b8dbbc2100272a,Cheesecake commercially prepared - 1 oz,USDA,1,oz,91
protein coffee,Doubleshot Coffee & Protein ,Starbucks Coffee,545ce4914ce901f7437d9e20,Doubleshot Coffee & Protein,Starbucks Grocery,1,can,200
fage plain greek yogurt,0% Greek Yogurt Plain,Fage,5395b742398dc8456519c3d9,0% Greek Yogurt Plain,Fage,1,container,100
over easy egg,1 Egg (over easy medium hard),Steak N' Shake,513fc996927da70408003e49,1 Egg (over easy medium hard),Steak N' Shake,1,egg,80
over medium egg,1 Egg (over easy medium hard),Steak n' Shake,513fc996927da70408003e49,1 Egg (over easy medium hard),Steak N' Shake,1,egg,80
white chicken,1/4 Chicken White,Cowboy Chicken,51c549ef97c3e6efadd6020e,Seasoning Mix Honey BBQ Chicken Glaze,Chicken,1,Tbs,25
maxwell house colombian blend coffee,100% Colombian,Maxwell House,54d28ae5d0ef732642e52260,100% Colombian,Maxwell House,1,cup,0
over easy eggs,2 Eggs (over easy medium hard),Steak n Shake,513fc996927da70408003e4b,2 Eggs (over easy medium hard),Steak N' Shake,2,eggs,150
subway sandwich,"6"" Subway Club",Subway,521b95cf4a56d006d578c205,"6"" Subway Club&reg;",Subway,1,Sandwich,310
alaskan salmon burger pattie,Alaskan Salmon Burgers,Trident Seafoods,51c36cf597c3e69de4b086e7,Alaskan Salmon Burgers,Trident Seafoods,1,piece,130
blue diamond almond milk,Almond Milk,Blue Diamond,51c5494897c3e6efadd5fcf6,Almond Milk Non Dairy Milk Alternative Original,Blue Diamond Almond Breeze,240,ml,60
