mozzarella cheese,,01026
parmesan cheese,,01032
swiss cheese bacon,,01040
coffee cream,,01050
whip cream,,01054
organic milk,,01077
canned milk,,01095
large eggs,,01123
farm fresh eggs,,01124
fried egg,,01128
fried eggs,,01128
hard boiled egg,,01129
hard boiled eggs,,01129
boil egg,,01129
omelet,,01130
scrambled french eggs,,01132
shredded cheddar cheese,,01146
shredded cheese,,01146
yoplait vanilla yogurt,,01184
kraft cheese,,01190
fage plain greek yogurt,,01252
tillomook sharp cheddar cheese,,01270
wegmans shredded mozzarella cheese,,01271
chobani greek yogurt,,01275
chobani mango yogurt,,01275
vanilla greek yogurt,,01275
oikos blueberry yogurt,,01276
low fat strawberry yogurt,,01281
dried parsley,,02029
paprika black pepper,,02030
pepper,,02031
salt,,02047
balsamic dressing vinaigrette,,02069
peach fruit cup,,03130
beef and carrots,,03290
broccoli chicken,,03298
cheddar broccoli,,03959
poppy seed dressing,,04016
french dressing,,04020
french salad dressing,,04020
fat free french dressing,,04367
cheese ranch dressing,,04638
smart balance buttery spread,,04673
mayonaise,,04708
ground turkey,,05305
chicken wings,,05312
boiled chicken,,05335
jennieo lean ground turkey,,05665
grill chicken,,05747
grilled chicken,,05747
goya black beans,,06002
white broccoli,,06014
onion soup,,06045
alphabet chicken,,06054
alphabet soup,,06054
cambells chicken noodle soup,,06062
brown gravy,,06118
cambells tomato soup,,06159
meatball and pasta,,06228
safeway tomato basil pasta sauce,,06233
chicken noddle soup,,06314
chicken noodle soup,,06314
condensed cream broccoli soup,,06333
campbells chicken noodle crackers,,06363
steak baked potato,,06384
chicken pasta soup,,06400
campbells chicken noodle soup,,06482
pasta sauce,,06931
prego marinara sauce,,06931
alfredo sauce,,06960
ramen chicken flavored noodles,,06983
ramen noodles flavor chicken,,06983
chicken ramen noodles,,06983
sandwich ham salad,,07031
han and cheese,,07033
pork sausage,,07063
sausage,,07075
turkey loaf,,07223
oscar meyer turkey,,07239
franks hot dog,,07246
smoke turkey sandwich,,07257
ham spam,,07908
turkey kielbasa,,07934
turkey sausage,,07955
chicken seasoning,,07961
italian meatballs,,07972
kelloggs cereal,,08020
kelloggs corn flakes,,08020
kelloggs cornflakes,,08020
loop fruit cereal,,08030
frosted mini wheats,,08031
lucky charms cereal,,08050
kellogs raisin bran,,08060
post raisin bran,,08061
rice crispie cereal,,08065
special k cereal,,08067
kellogs frosted flakes,,08069
quaker maple brown sugar oatmeal,,08130
light granola,,08189
morning blueberry cereal,,08192
chocolate cereal,,08204
coco puff cereal,,08206
cocoa puffs cereal,,08271
cinnamon toast crunch cereal,,08272
toasted oats cereal greenway,,08352
mini wheats,,08384
quaker oats oatmeal,,08402
chocolate lucky charms,,08513
life cereal,,08549
kellogs special k chocolate delight cereal,,08584
low fat cereal,,08587
brown cinnamon sugar oatmeal,,08639
oats cinnamon and honey,,08665
chiquita banana,,09040
blue berries,,09050
dole frozen blueberries,,09053
lemon,,09150
green olives,,09195
medium orange juice,,09206
oranje juice,,09206
mandarin oranges,,09218
pineapple,,09266
chunks,,09272
chunks pineapple,,09272
raisins,,09298
raspberries,,09302
grilled strawberries,,09316
fresh strawberries,,09316
frozen strawberries,,09318
sweetened strawberries,,09319
sliced strawberries,,09320
grapefruit juice,,09404
mixed fruits,,09431
clementine,,09433
golden delicious apple,,09501
green apple,,09502
pork belly sandwich,,10005
baked pork chop,,10050
homemade pulled pork oz home roasted pork shoulder,,10087
baked pork fried chop,,10120
country style pork rib,,10204
green giant canned green beans,,11054
frozen bean,,11060
raw carrots,,11124
cooked celery,,11144
canned corn,,11170
frozen corn,,11180
costco frozen edamame,,11211
baby kale,,11233
organic red cherry kale,,11233
romaine lettuce salad,,11251
stir fry,,11263
yellow onion,,11286
green onions,,11292
green pepper,,11333
green peppers,,11333
sauted red potato,,11355
small potatoes,,11355
wendys baked potato,,11357
roasted potato,,11361
roasted potatoes,,11361
potatoes,,11362
potato fries,,11411
fried potatoes,,11411
fries,,11411
fry,,11411
coca diet cola,,11461
frozen mixed spinach,,11463
baked sweet potato,,11508
mashed sweet potatos,,11514
diced tomatoes,,11529
tomato,,11529
tomatoes,,11531
stewed tomatoes,,11533
mixed vegetables,,11583
frozen mixed up vegetables,,11583
frozen vegetables,,11583
hot peppers,,11670
red hot peppers,,11819
sauteed bell peppers,,11921
dried red pepper,,11931
dill pickle,,11937
dill pickle spear,,11937
dill pickles,,11937
dill spear pickle,,11937
hardboiled sweet relish,,11945
baby carrots,,11960
jalapeos,,11979
chia seeds,,12006
almond nuts,,12061
sunflower seeds,,12536
beef sandwich,,13342
corned beef,,13348
cube steak,,13398
large cube steak,,13398
grilled beef,,13943
unsweetened vanilla almond milk,,14016
protein powder,,14058
protein shake,,14059
lipton tea,,14070
mountain dew,,14079
frozen mixed fruit,,14119
soda,,14121
ice tea,,14137
sprite,,14145
orange soda,,14150
medium hot chocolate,,14197
coffee coffee,,14214
nescafe instant coffee,,14214
decaf instant coffee crystals,,14218
sugar coffee,,14224
grape juice,,14282
starbucks venti unsweetened black iced tea,,14355
tea,,14355
spring water,,14385
water,,14411
pepsi,,14433
arizona iced tea,,14475
capari sun juice pouch,,14636
gatorade,,14644
salmon,,15076
tuna fish,,15121
fish salad,,15128
tuna salad,,15128
salad,,15128
fish,,15261
tilapia fish filet,,15261
red beans,,16032
white beans,,16049
jiff peanut butter,,16098
skippys reduced fat peanut butter,,16150
plain yogurts,,16252
nestle french vanilla creamer,,16261
hazelnut creamer,,16262
house foods firm tofu,,16281
smoked turkey,,16533
sausage egg and cheese biscuit,,16603
sourdough toast,,18030
italian bread,,18033
whole grain bread,,18035
oatmeal bread,,18039
pita bread,,18041
wheat bread,,18064
wheat toast,,18065
toast whole wheat toast,,18065
white toast,,18070
whole wheat toast,,18076
sponge cake,,18133
strawberry cheesecake,,18147
cheese cake,,18147
brownies,,18151
crackers,,18223
donuts,,18248
chocolate frosted donut,,18249
dunkin donuts jelly doughnuts,,18256
thomass english muffin,,18264
french toast bacon,,18268
blue berry muffin,,18275
apple pecan pie,,18324
butter pecan pie,,18324
dinner roll,,18344
wheat roll,,18347
heb brand tortillas,,18363
flour tortilla,,18364
frozen waffles,,18365
waffles,,18365
buttermilk pancake,,18390
thomas plain bagel,,18406
kroger smores toaster pastries,,18487
nutrigrain bar,,18501
pillsbury cinnamon roll,,18635
thomas english muffin,,18639
cinnamon bun,,18964
grill cheese sandwich,,18986
fritos corn chips,,19003
cake rice,,19051
nacho cheese doritos,,19057
snicker bar,,19155
chocolate frosting,,19226
strawberry jam,,19297
jelly,,19300
homemade orange marmalade,,19303
chocolate chip chewy granola bar,,19404
chips,,19411
cheese potato chips,,19421
snack,,19422
chocolate chip ice cream,,19879
hay yellow corn,,20014
brown fried rice,,20036
brown rice,,20040
white rice,,20054
rice,,20054
enriched white bread,,20083
pasta,,20091
pasta pasta,,20091
noodles,,20109
egg bacon,,21003
egg and sausage,,21005
sausage egg and cheese croissants,,21014
sausage egg and croissant cheese,,21014
scramble eggs,,21018
bean burrito,,21060
bean and cheese tacos,,21061
beef and cheese tacos,,21082
macdonald chicken sandwich,,21102
egg and cheese,,21104
cheese egg,,21104
fish sandwich,,21105
hamburger patties,,21107
hamburger patty,,21107
ballpark hot dog,,21118
fresh lettuce tomato,,21124
tuna salad sandwich,,21126
tuna sandwich,,21126
hush puppies,,21129
onion rings,,21130
pork mashed potatoes,,21139
dices frozen pizza,,21149
subway turkey sandwich,,21213
subway tuna sandwich,,21214
baked chicken nuggets,,21229
mcdonalds cheeseburger,,21233
mcdonalds cheeseburgers,,21233
mcdonalds fry,,21238
wendys hamburger,,21239
burger king fish sandwich,,21258
burger king chicken sandwich,,21259
taco bell beef tacos,,21260
taco bell crunchy tacos,,21260
cheese pizza,,21271
pizza hut pizza,,21272
pepperoni pizza,,21275
deep dish dominos pizza,,21278
little caesars plain cheese pizza,,21287
