I had chocolate chip pancakes (3) with maple syrup and one blueberry muffin with an 8 oz glass of milk,syrup,-3,3,cup,no quantity
I had 1 glass of orange juice and 1 orange.,orange,1,1,cup; sections,no quantity
I had 2 pieces of white toast with 1 nutragrain hoeny bar,bar,1,1,Butterfinger BB's,no quantity
I had 1 organic egg cooked in a pan and flipped over. I had 2 sausages manufactured by Jones. I had lemon water.,egg,1,1,medium,no quantity
I had 1 hillshire farms smoked sausage on one hotdog bun with a cold glass of lemonade,sausage,1,1,serving,no quantity
I had 1 hard boiled egg; 1 banana and 8 oz orange juice.,egg,1,1,cup; chopped,no quantity
I had 1 hard boiled egg; 1 banana and 8 oz orange juice.,banana,1,1,"medium (7"" to 7-7/8"" long)",no quantity
I just ate 2 oranges and 1 kiwi with a glass of cold skim milk.,kiwi,1,1,serving,no quantity
I had 1 banana and 1 cup milk,banana,1,1,"medium (7"" to 7-7/8"" long)",no quantity
I had 1 waffle; toasted; spread with 2 tablespoons peanut butter; and 8 oz. fat free milk.,waffle,1,1,oz,no quantity
Today for breakfast I had 1 protein shake. I used the scope provided by the manufacturer and 1/2 cup of 1% Milk. I also had a Dannon Greek Yogurt; black cherry. This provided me with a total of 42 grams of protein.,shake,1,1,bottle,no quantity
I had 2 boiled eggs dipped in soy sauce and 1 scrambled egg.,egg,1,1,cup,no quantity
â€‹I had 2 Eggo blueberry waffles toasted; with half a tablespoon of butter and a tablespoon of homemade maple syrup. I also had 1 medium banana and a cup of Folgers original coffee with a tablespoon of International Delight French Vanilla creamer,banana,1,1,"medium (7"" to 7-7/8"" long)",no quantity
I had a homemade oatmeal bar made with Jiffy peanut butter; 1 egg; brown sugar and quick oats. I had a cup of breakfast roast Maxwell House coffee doctored with two tablespoons of Dunkin Donuts Extra Extra creamer and a dash of pumpkin pie spice.,sugar,1,1,cup,no quantity
I had 1 organic egg cooked on a cast iron pan with home style potatoes that I grew in my garden. The potatoes were cooked in 3 table spoons of butter. The egg had a dash of milk; then it was scrambled.,egg,1,1,medium,no quantity
I went out for breakfast this morning to Christo's in Sanford Maine. I had 1 blueberry pancake with maple syrup (not real syrup); coffee with three creamers and two sugars; 2 eggs; corned beef hash and american cheese.,pancake,1,1,oz,no quantity
I ate 1 egg; ham; and cheese biscuit; 1/2 cup of diced fresh fruit; 2 small round hash-browns; and drank 1/2 cup of orange juice.,ham,1,1,grams 1 serving,no quantity
I had 1 glass of apple juice and 1 apple.,apple,1,1,"medium (3"" dia)",no quantity
I had 2 pieces of turkey bacon; 1 thomas english muffin; 2 tablespoons avocado; a drizzle of truffle oil and 1 tablespoon of colby jack cheese. I had an 8 oz glass of orange juice.,muffin,1,1,muffin,no quantity
