Nando's 1/2 Chicken Breast,Chicken Breast Wrap, Nando's Peri-Peri,516d9a41e3afed1038d0041f,Chicken Breast Wrap,Nando's Peri-Peri,1,sandwich,573
Carbonara,Carbonara  ,Bertolli,5499890983fb62f643ac1c30,Carbonara,Bertolli,0.25,cup,70
McDonald's Newman's Own Creamy Caesar Dressing,Creamy Caesar Dressing  ,Newman's Own,529e7f03f9655f6d35007b13,Creamy Caesar Dressing,Chop't,30,g,140
Fish and chips,Fish and chips  ,Perkins Restaurant And Bakery,513fc9e63fe3ffd40300098c,Lunch Fish and Chips,Fatz,1,serving,505
CAMPBELL'S Red and White Golden Mushroom Soup,Golden Mushroom Soup condensed,CAMPBELL'S,513fceb475b8dbbc21000b13,CAMPBELL'S Red and White Golden Mushroom Soup condensed - 1 serving 1/2 cup,USDA,1,serving 1/2 cup,80.6
Lingonberry jam,Lingonberry jam  ,Ikea,54ed08cbd886ddeb6478a7e7,Lingonberry Jam,Ikea,1,tbsp,30
Liquid smoke,Liquid smoke  ,Colgin,51c3ef4e97c3e6de73cbbe08,Liquid Smoke,Colgin,1,tsp,0
Panettone,Panettone  ,Perugina,54a16c478de21936199f68de,Chiostro Di Saronno,Panettone,100,g,370
Pasta al pomodoro,Pasta pomodoro  ,Eggspectation,513fc9cd673c4fbc2600715c,Pasta Pomodoro,Eggspectation,-1,NULL,1175
Pudding,Pudding  ,Godfathers Pizza,5266a2339f05a39eb300fa5b,Pudding,Godfather's Pizza,108,g,153
Sesame chicken,Sesame chicken  ,Kahiki,51c549ef97c3e6efadd6020e,Seasoning Mix Honey BBQ Chicken Glaze,Chicken,1,Tbs,25
Special K,Special K  ,Kelloggs,54b032fbf503b26664d3a23d,Special K,Kelloggs,1,cup,120
McDonald's Sweet 'N Sour Sauce,Sweet 'N Sour Sauce  ,McDonald's,51c364fd97c3e69de4b0481e,Sweet 'n Sour Sauce,Kraft,2,tbsp,60
Tandoori masala,Tandoori masala  ,Frontier,51c4049297c3e6dfa4df5610,Tandoori Masala,Frontier,1,tsp,10
Lemonsoda,Lemon Soda, 4food,51c3f54d97c3e6de73cbe8d2,Soda Mix Lemon-Lime,Soda Stream,0.34,fl oz,35
Jerusalem mixed grill,Mixed Grill, Abc Country Restaurants,513fc996927da70408003c84,Mixed Grill,Ruby Tuesday,-1,NULL,836
Lard na,Lard, Armour,513fceb475b8dbbc210005b4,Lard - 1 cup,USDA,1,cup,1849.1
General Mills  Betty Crocker Supermoist Yellow Cake Mix,Super Moist Cake Mix Yellow, Betty Crocker,51d2fdd7cc9bff111580eceb,Super Moist Cake Mix Yellow,Betty Crocker,0.1,pkg,160
Toffee,Toffee, Brandini Toffee,51c3b9ec97c3e6d8d3b45d5f,Toffee,Elite,2,candies,50
Hot cross bun,Hot Cross Bun, Breadsmith,513fc99c927da704080070f0,Hot Cross Bun,Breadsmith,-1,NULL,300
Carl Buddig Smoked Sliced Beef,Beef Smoked Sliced Chopped Pressed Cooked, Buddig,51c3f27c97c3e6de73cbd515,Beef Smoked Sliced Chopped Pressed Cooked,Buddig,1,pkg,90
Curry ketchup,Curry Ketchup, Burkhardt,540729be1701ffb9576b74c6,Curry Ketchup,Molonay Tubilderborst,1,tablespoon,10
Princess Cake,Princess Decors , Cake Mate,51d2fdc0cc9bff111580ec44,Princess Decors,Cake Mate,1,tsp,10
Campbell's Condensed 25% Less Sodium Cream of Mushroom Soup,Condensed Soup Cream of Mushroom, Campbell's,54ddcf180d53bfbc44f5d092,Condensed Soup Cream Of Mushroom,Western Family,0.5,cup,100
Sunshine Cheez-It Pepper Jack Crackers,Cheez-It Pepper Jack, Cheez-It,51c36a1297c3e69de4b06fa8,Cheez-It Pepper Jack,Cheez-It,25,crackers,150
Cookie,Cookie, Chester's,513fceb775b8dbbc2100274b,"Chocolate Chip Cookie - 1 cookie medium (2-1/4"" dia)",USDA,1,"cookie medium (2-1/4"" dia)",59.04
Cheese roll,Brazilian Cheese Roll, Forno de Minas,54effff9f835ee19626db8da,Brazilian Cheese Roll,Forno de Minas,2,pieces,150
Leaf vegetable,Spinach Leaf, Hannaford,51c37c4597c3e6d27282515d,Spinach Leaf,Hannaford,0.33,cup,30
String cheese,String Cheese, Hautly Cheese Company,54c683fc66b0e05415e95596,String Cheese - 1 Stick,Nutritionix,1,Stick,85.05
Tuna casserole,Tuna Casserole, Healthy Choice,550f883da27a52b91e3bd483,Tuna Casserole,Nutrisystem,9,oz,250
Ham salad,Ham Salad, HoneyBaked Ham,52cdcc50051cb9eb32002d5d,Ham Salad,HoneyBaked Ham,3.84,Oz,278.02
Israeli salad,Israeli salad, Hummus And Pita Co.,529e7df1f9655f6d35002cf6,Israeli salad,Hummus And Pita Co.,-1,NULL,43
Hot Brown,Izzy's Hot Brown, Izzy's,513fc9cb673c4fbc26005c30,Izzy's Hot Brown,Izzy's,1,sandwich,1008
Jamaican jerk spice,Jamaican Jerk Seasoning, Jamaican Choice,51c36c0297c3e69de4b07eb8,Jamaican Jerk Seasoning,Jamaican Choice,1,tsp,5
Farfel,Matzah Farfel, Jerusalem Matzos,51c3cd0d97c3e6d8d3b4f041,Matzah Farfel,Jerusalem Matzos,0.5,cup,120
Amandine,Chicken Amandine, K & W Cafeterias,513fc9c4673c4fbc26000702,Chicken Amandine,K & W Cafeterias,-1,NULL,535
Keebler Fudge Shoppe JUMBO Peanut Butter Sticks,Keebler Fudge Shoppe JUMBO Peanut Butter Sticks, Keebler,513fceb875b8dbbc21003440,KEEBLER FUDGE SHOPPE Jumbo Fudge Sticks Peanut Butter - 1 cookie,USDA,1,cookie,166.47
Kellogg's Frosted Mini-Wheats Big Bite cereal,Cereal Frosted Mini-Wheats Big Bite Original, Kellogg's,51c53e8b97c3e6efadd5a890,Cereal Frosted Mini-Wheats Big Bite Original,Kellogg's,58,G,200
Kellogs's Pop-Tarts Frosted Raspberry Toaster Pastries,Toaster Pastries Pop-Tarts Frosted Raspberry, Kellogg's,51c3747197c3e69de4b0c6b9,Pop-Tarts Toaster Pastries Frosted Raspberry,Pop-Tarts,1,pastry,200
Kellogg's Eggo Blueberry Waffles,Waffles Eggo Blueberry, Kellogg's,51c53e4e97c3e6efadd5a688,Waffles Eggo Blueberry,Kellogg's,70,G,190
Barbecue sauce,Barbecue Sauce Original, Kraft,51c3bd4897c3e6d8d3b475d7,Barbecue Sauce Original,Russell's Barbecue,2,tbsp,20
Lumpia,Lumpia Chicken, Loompya Family,54f60aa5019f044275ab4ae3,Lumpia Chicken,Loompya Family,2,pieces,110
Luna bar,Protein Bar Chocolate , Luna,54982ef9da5d8d5133d1a438,Protein Bar Chocolate Deluxe,Pure Protein,1,bar,180
MARS SNACKFOOD US Snickers Marathon Energy Bar Formulated bar,Energy Bar, Marathon,54abff9a8aeb5b0d0a6de048,Energy Bar,Clif Bar,1,bar,240
Fideo,Fideo, Matiz,51c3d30797c3e6d8d3b521b1,Fideo,Matiz,2.9,oz,390
Garlic bread,Garlic Bread, Mellow Mushroom,513fceb775b8dbbc21002a88,Garlic bread frozen - 1 slice presliced,USDA,1,slice presliced,150.5
Nando's 1/2 Chicken Breast,Chicken Breast Wrap, Nando's Peri-Peri,52cdd12a051cb9eb32014a24,Grilled Chicken Breast Wrap,Cheeburger Cheeburger,1,serving,218
Cabernet Franc,Cabernet Vinegar, O,51c3c50497c3e6d8d3b4b30a,Cabernet Vinegar,O,1,tbsp,9
Primrose,Evening Primrose Oil, Oregon's Wild Harvest Grocery,52a4c804bde358697f00836f,Evening Primrose Oil,Oregon's Wild Harvest Grocery,1,softgel,5
Idaho Spud,Idaho Spud, Owyhee,54c0d63182fb851420059b09,Idaho Spud,Owyhee,1,bar,180
Mochi,Mochi, Pinkberry,516d9a41e3afed032c7dae78,Mochi,Pinkberry,15,g,60
Pizza Hut Pan Crust Pepperoni Pizza,"Pepperoni - 14"" Large Pan Pizza", Pizza Hut,516d9a3fe3afed032c7da12e,"Pepperoni - 14"" Large Pan Pizza",Pizza Hut,1,slice,370
Quaker Instant Oatmeal Apple and Cinnamon reduced sugar,Lower Sugar Instant Oatmeal Apples & Cinnamon, Quaker,51c36ec797c3e69de4b0956b,Lower Sugar Instant Oatmeal Apples & Cinnamon,Quaker,1,packet,110
Yogurt soup,Yogurt Vegi Soup, Sadaf,51c3cd4a97c3e6d8d3b4f246,Yogurt Vegi Soup,Sadaf,1,cup,220
Korean taco,Korean Taco with Tofu and Heirloom Corn Tortilla, Saffron Road,55031dd9fe6a8c2162446e3b,Korean Taco with Tofu and Heirloom Corn Tortilla,Saffron Road,5,oz,230
Tofu skin,Tofu, Saladworks,513fceb675b8dbbc21002243,Tofu - 1 block,USDA,1,block,12.76
Tuna fish sandwich,Tuna Salad Sandwich, Sheetz,53445000cd5bb303a94c4db8,Tuna Salad Sandwich,Sheetz,1,Sandwich,235.11
White boiled shrimp,Shrimp Cooked, Shrimp,51c5404397c3e6efadd5b62e,Shrimp Cooked,Shrimp,84,G,100
Abbott Nutrition Similac Special Care,Expert cAre NeoSure Infant Formula with Iron, Similac,51c53cd997c3e6efadd59b02,Expert cAre NeoSure Infant Formula with Iron,Similac,4.5,fl oz,100
Mars Snackfood US Snickers Marathon Double Chocolate Nut Bar,Energy Bar Double Chocolate Nut, Snickers,51c3fec797c3e6dfa4df29f7,Energy Bar Double Chocolate Nut,Snickers,1,bar,150
SpaghettiOs RavioliOs Beef Ravioli in Meat Sauce,Ravioli Beef in Meat Sauce, SpaghettiOs,51d2fbfbcc9bff111580e04d,Ravioli Beef in Meat Sauce,SpaghettiOs,1,cup,270
Buffalo meat,Buffalo, Steak N' Shake,513fc996927da70408003d7e,Buffalo,Steak N' Shake,1,sandwich,130
Timbits,Old Fashion Plain Cake Timbits, Tim Horton's,513fc996927da70408003aae,Old Fashion Plain Cake Timbits,Tim Horton's,16,g,70
General Mills Total Cranberry Crunch,Cranberry Crunch, Total,5460ede2a7f2fb4538e91fa3,Cranberry Crunch,Lighten Up,1,bar,200
Campbell's V8 Vegetable Juice,CAMPBELL'S V8 100% Vegetable Juice - 8 fl oz, USDA,463d623700427d58471d77a9,CAMPBELL'S V8 100% Vegetable Juice - 8 fl oz,USDA,8,fl oz,51.03
Abbott Nutrition Alimentum Advance Infant Formula,Infant formula ABBOTT NUTRITION SIMILAC ALIMENTUM ADVANCE ready-to-feed with ARA and DHA (formerly ROSS) - 1 fl oz , USDA,513fceb475b8dbbc2100058c,Infant formula ABBOTT NUTRITION SIMILAC ALIMENTUM ADVANCE ready-to-feed with ARA and DHA (formerly ROSS) - 1 fl oz,USDA,1,fl oz,20.43
Flaky pastry,Flaky Pastries, Vachon,54eeca6a6767bfbd7ab4bd35,Flaky Pastries,Vachon,1,pastry,240
Cheese spread,Cheese, Wegmans,529e7dc1ea63d493350014a8,Cheese,Chipotle,1,oz,100
