butter,1001
cheese,1009
Cream,1049
Eggnog,1057
buttermilk,1088
allspice,2001
Basil,2044
oil,4518
Chicken,5006
Chorizo,7019
Bratwurst,7924
Apple,9003
apple,9003
Apple juice,9016
Apricots,9021
banana,9040
blueberry,9050
Breadfruit,9059
Cranberry,9078
Grapefruit,9111
lemon,9151
cantaloupe,9181
fruit,9187
strawberry,9316
Grapefruit juice,9404
Durian,9422
pork,10006
Bacon,10123
Ham,10905
Asparagus,11011
Broccoli,11090
Broccoli,11090
Cabbage,11109
Carrot,11124
Cauliflower,11135
Celery,11143
Chard,11147
Chives,11156
cucumber,11205
Cucumber,11205
Endive,11213
Garlic,11215
Ketchup,11935
Fennel,11957
Arugula,11959
coconut,12104
beef,13795
Beef,13795
beer,14003
Coffee,14209
crab,15144
abalone,15155
peanut butter,16098
Tofu,16427
veal,17088
Bagel,18001
Bagels,18001
biscuit,18016
bread,18069
Bread,18069
pancake,18293
baking powder,18369
chocolate,19120
Chocolate,19120
Cocoa,19165
sugar,19335
syrup,19353
Barley,20005
Cornstarch,20027
Couscous,20028
wheat,20076
hot dog,42280
Cranberry juice,43382
almond milk,
Applesauce,
Artichokes,11007
Asiago Crackers,
aspartame,
Avocados,9037
Baking chocolate,
Bamboo shoots,11026
Bananas,9040
Beans,16006
Beets,
Biscuits,18106
bison,
Blackberries,9042
Blackberry juice,
Blueberries,9050
Bologna,
bone marrow,
Boysenberries,
Bread crumbs,
Breakfast bar,
Broadbeans,
Broccoli raab,
Brotwurst,7924
Brussels sprouts,
Buckwheat,
Burrito,
Buttermilk Biscuits,
Buttermilk Pancake,
Cake,
Cake mix,
Canadian bacon,
Candies,
Capers,
caramel custard,
Caramel Dulce De Leche Cookies,
Catsup,
Cheesecake commercially prepared,
Cherries,
Chicken breast,
Chicken Broth,
chicken liver,
Chicken Noodle Soup,
Chili,
Chocolate Chip Cookies,
Chocolate Eclair,
cider,
Clementines,
club soda,
Coffeecake,
Collards,
Cookie,
Cookies,
corn,
Corn,
crab cake,
Crackers,
Cranberries,
Cranberry sauce,
Cream puff,
Croissants,
Croutons,
Currants,
Dates,
Doughnuts,
Dressing,
eclair,
Edamame,
Egg,01123
Eggplant,
Eggs,
Elderberries,
English muffins,
Falafel,
Figs,
Fish,
Fish oil,
flan,
Fluid replacement,
Frozen yogurts,
Granola bar,
Grape juice,
Grapes,
Gravy,
Guavas,
Gums,
half and half,
Hamburger,
meat,
oats,
orange,
potato chips,
potato salad,
raisins,
soymilk,
turkey,
vanilla,
vegetable,
Waffles,
whole milk,
