Salep,na,01004
Brick cheese,na,01005
Brie,na,01006
Camembert,na,01007
Cheddar cheese,na,01009
Cheshire cheese,na,01010
Colby cheese,na,01011
Cheese curd,na,01012
Cottage pie,na,01012
Curd snack,na,01012
Sunshine Small Curd Cottage Cheese,na,01012
Feta,na,01019
Fontina,na,01020
Gouda cheese,na,01022
Gruyere cheese,na,01023
Limburger cheese,na,01024
Monterey Jack,na,01025
Muenster cheese,na,01030
Grated cheese,na,01032
Grated parmesan,na,01032
Port Salut,na,01034
Provolone,na,01035
Ricotta,na,01036
Romano cheese,na,01038
Roquefort,na,01039
Swiss cheese,na,01040
Tilsit cheese,na,01041
Pimento cheese,na,01043
Half and half,na,01049
Sour cream,na,01056
American cheese,na,01061
Textured vegetable protein,na,01067
Powdered milk,na,01092
Chocolate balls,na,01102
Chocolate milk,na,01102
Hot milk cake,na,01105
Goat Milk,na,01106
Sheep,na,01109
McDonald's Chocolate Triple Thick Shake,na,01110
McDONALD'S Vanilla TRIPLE THICK Shake,na,01111
Whey,na,01112
Breyers Yogurt,na,01120
Egg,na,01123
Poached egg,na,01131
Scrambled eggs,na,01132
Salted duck egg,na,01138
Quail eggs,na,01140
Powdered eggs,na,01144
Goat cheese,na,01157
Queso Chihuahua,na,01167
Cheez Whiz,na,01188
Kraft Cheez Whiz Pasteurized Process Cheese Sauce,na,01188
Kraft Cheez Whiz Light,na,01189
Kraft Free Singles,na,01190
Kraft Velveeta Cheese,na,01191
Processed cheese,na,01191
Kraft Velveeta Pasteurized Process Cheese Spread,na,01191
Kraft Breakstone's Fat Free Sour Cream,na,01194
Reddi Wip Fat Free Whipped Topping,na,01200
Muscle Milk Light Powder,na,01224
Dulce de leche,na,01225
Seco,na,01227
Queso blanco,na,01229
Flavored milk,na,01231
Soft serve,na,01236
Ice cream bar,na,01237
Ice cream sandwich,na,01238
Dessert bar,na,01244
Greek yogurt,na,01256
Spice rub,na,02001
Anise,na,02002
Ground cinnamon,na,02010
Curry,na,02015
Garlic powder,na,02020
Mace,na,02022
Onion powder,na,02026
Crushed red pepper,na,02031
Poppy seed roll,na,02033
Cayman Sage,na,02038
Dry mustard,na,02046
Cider,na,02048
Mint,na,02064
Red Wine Reduction,na,02068
Black vinegar,na,02069
Pace Dry Taco Seasoning Mix,na,02073
Pace Salsa Verde,na,02708
Gerber Graduates Fruit Strips Real Fruit Bars,na,03019
Cobbler,na,03222
Peach Melba,na,03229
Gerber Graduates Fruit Splashers,na,03301
GERBER GRADUATE YOGURT MELTS,na,03302
Nestle Good Start Supreme Infant Formula,na,03800
Start,na,03800
Infant formula,na,03803
Mead Johnson Enfamil Nutramigen Infant Formula,na,03813
Mead Johnson Portagen child formula,na,03819
Mead Johnson Pregestimil infant formula,na,03821
Mead Johnson Prosobee Infant Formula,na,03823
MEAD JOHNSON ENFAMIL LACTOFREE LIPIL Infant formula,na,03827
Similac Infant Formula,na,03837
Mead Johnson Enfamil Nutramigen Lipil,na,03838
Abbott Nutrition Similac Isomil Advance,na,03839
Abbott Nutrition Similac Natural Care Advance,na,03839
Abbott Nutrition Similac Special Care,na,03840
Abbott Nutrition Similac Isomil,na,03842
Nutramigen LIPIL Iron Fortified Concentrated Liquid,na,03844
Abbott nutrition Similac with iron,na,03850
Mead Johnson Enfamil Prosobee Lipil Infant Formula,na,03854
Mead Johnson Enfamil Prosobee Lipil,na,03854
Abbott Nutrition Similac low iron,na,03855
Nestle Good Start Soy,na,03859
Nestle Good Start Soy Infant formula,na,03859
Abbott Nutrition Pediasure Child formula,na,03860
Mead Johnson Next Step Prosobee Lipil infant formula,na,03861
Infant formula PBM PRODUCTS ULTRA BRIGHT BEGINNINGS soy,na,03867
Mead Johnson Enfamil Lactofree Infant formula,na,03868
Nestl_ Good Start 2,na,03900
Nestl_ Good Start Essentials Soy,na,03925
Mead Johnson Next Step Prosobee Infant formula,na,03929
Infant formula PBM PRODUCTS ULTRA BRIGHT BEGINNINGS ready-to-feed (formerly WYETH-AYERST),na,03936
Perrigo Nutritionals Store Brand Infant Formula,na,03938
PBM Products store brand infant formula,na,03938
PBM Products Perrigo Infant Formula,na,03938
PBM PRODUCTS Infant formula,na,03938
PBM PRODUCTS Soy Infant formula,na,03939
Store Brand Soy Formula,na,03939
Mead Johnson Enfamil AR LIPIL infant formula,na,03942
Abbott Nutrition Similac Neosure Infant Formula,na,03945
Abbott Nutrition Similac Sensitive,na,03946
ABBOTT NUTRITION SIMILAC ISOMIL ADVANCE Infant formula,na,03953
Abbott Nutrition Alimentum Advance Infant Formula,na,03957
MEAD JOHNSON ENFAMIL GENTLEASE LIPIL Infant Formula,na,03963
Mead Johnson Enfagrow Premium Toddler,na,03968
Mead Johnson Enfagrow Premium Toddler Formula,na,03968
Infant Formula Mead Johnson Enfamil Gentlease Powder,na,03980
Gerber Good Start Soy Formula _ Powder,na,03987
Abbott Nutrition Similac Infant Formula,na,03999
Abbott Nutrition infant formula,na,03999
Tallow,na,04001
Kraft Mayo Fat Free Mayonnaise Dressing,na,04013
Kraft Mayo Salad Dressing,na,04013
Miracle Whip,na,04014
Russian dressing,na,04015
Salad dressing spread,na,04015
Salad cream,na,04028
Rice bran oil,na,04037
Wheat germ oil,na,04038
Cooking oil,na,04042
Coconut oil,na,04047
Extra virgin olive oil,na,04053
Palm oil,na,04055
Italian dressing,na,04114
Vegetable oil,na,04128
Cocoa butter,na,04501
Cottonseed oil,na,04502
Teaseed oil,na,04516
Apricot kernel,na,04530
Babassu oil,na,04534
Duck fat,na,04574
Avocado oil,na,04581
Brown mustard,na,04583
Mustard oil,na,04583
Dripping,na,04606
Ranch dressing,na,04639
Spread,na,04674
SMART BALANCE Light Buttery Spread,na,04674
SMART BEAT Super Light Margarine-like spread,na,04675
Smart Beat Smart Squeeze Margarine-like spread,na,04676
Cooking spray,na,04679
PAM Original cooking spray,na,04679
Canola Harvest Soft Spread Margarine,na,04684
Benecol Light Spread,na,04687
Smart Balance Light Mayonnaise Dressing,na,04689
Honey Mustard,na,04703
Chicken fried steak,na,05012
Roast chicken,na,05013
Giblets,na,05115
Brown stew chicken,na,05124
Duck meat,na,05139
Domestic goose,na,05146
Roast goose,na,05149
Quail,na,05157
Squab,na,05160
Turkey,na,05304
Duck legs,na,05317
Chicken patty,na,05323
Patties pie,na,05323
Patty,na,05323
Crumble,na,05333
Chicken feet,na,05335
Montreal-style smoked meat,na,05600
Emu,na,05622
Drums,na,05628
Oyster,na,05631
Ostrich,na,05641
Black bean,na,06002
Campbell's Red and White Beefy Mushroom Soup,na,06003
Campbell's Red and White,na,06003
Campbell's Red And White Broccoli Cheese Soup,na,06014
Manhattan clam chowder,na,06027
Chowder,na,06028
Healthy Request Chicken With Rice,na,06029
Consomme,na,06032
Corn crab soup,na,06034
Lentil soup,na,06037
Campbell's Red and White Condensed Cheddar Cheese Soup,na,06038
Minestrone,na,06040
Campbell's Condensed Chicken and Dumpling Soup,na,06041
Campbell's Red and White Chicken and Stars Soup,na,06047
Campbell's Condensed Oyster Stew,na,06048
Scotch broth,na,06055
CAMPBELL'S Red and White Scotch Broth,na,06057
CAMPBELL'S Red and White Chicken Broth,na,06057
Campbell's Red and White Chicken Gumbo  Condensed Soup,na,06058
Campbell's Select Chicken Vegetable Medley Soup,na,06084
CAMPBELL'S Red and White Chicken Vegetable Soup,na,06084
CAMPBELL'S Red and White Beef Broth,na,06091
Teriyaki sauce,na,06112
Red bean soup,na,06117
CAMPBELL'S Red and White Bean with Bacon Soup,na,06117
Bacon soup,na,06117
Gravy,na,06118
Sofrito,na,06142
Campbell's Red and White Beef Noodle Soup,na,06145
Campbell's Red and White Beef with Vegetables and Barley Soup,na,06146
Plum sauce,na,06151
Pizza sauce,na,06152
Tomato soup,na,06159
Salsa,na,06164
Bajan pepper sauce,na,06168
Crystal Hot Sauce,na,06168
Tabasco sauce,na,06169
Sliced fish soup,na,06174
Fish stock,na,06174
Fish soup,na,06174
Hoisin sauce,na,06175
Oyster sauce,na,06176
Healthy Request Cream of Chicken Soup,na,06195
Campbell's Red and White 25% Less Sodium Chicken Noodle Soup,na,06212
Campbell's Condensed 25% Less Sodium Cream of Mushroom Soup,na,06214
Campbell's Condensed 98% Fat Free Broccoli Cheese Soup,na,06215
CAMPBELL'S Red and White 98% Fat Free Cream of Celery Soup,na,06218
Prego Pasta Chunky Garden Mushroom And Green Pepper Italian Sauce,na,06220
Prego Pasta Chunky Garden Mushroom Supreme Italian Sauce,na,06221
Prego Pasta Flavored with Meat Italian Sauce,na,06223
Prego Pasta Fresh Mushroom Italian Sauce,na,06224
Prego Pasta Garlic Supreme Italian Sauce,na,06225
PREGO Pasta Italian Sausage and Garlic Italian Sauce ready-to-serve,na,06226
Prego Pasta Mini-Meatball Italian Sauce,na,06228
PREGO Pasta Mushroom and Garlic Italian Sauce,na,06229
Prego Pasta Mushroom and Parmesan Italian Sauce,na,06231
PREGO Pasta Organic Mushroom Italian Sauce,na,06232
Prego Pasta Organic Tomato and Basil Italian Sauce,na,06233
Prego Pasta Heart Smart Ricotta Parmesan Italian Sauce,na,06234
PREGO Pasta Roasted Garlic and Herb Italian Sauce,na,06236
PREGO Pasta Roasted Garlic Parmesan Italian Sauce,na,06236
PREGO Pasta Zesty Mushroom Italian Sauce,na,06240
Campbell's Chunky Microwavable Bowls Beef with Country Vegetables Soup,na,06241
Campbell's Chunky Microwavable Bowls Classic Chicken Noodle,na,06244
Campbell's CHUNKY Microwavable Bowls New England Clam Chowder,na,06250
CAMPBELL'S Chunky Microwavable Bowls Old Fashioned Vegetable Beef Soup,na,06251
Campbell's Chunky Microwavable Bowls Sirloin Burger with Country Vegetables Soup,na,06252
Barbecue sauce,na,06307
KRAFT Barbecue Sauce,na,06307
Campbell's Red and White Chicken Won Ton Soup,na,06311
HEALTHY CHOICE Chicken Noodle Soup,na,06314
Healty Choice Chicken and Rice Soup,na,06315
Healthy Choice Garden Vegetable Soup,na,06316
Campbell's Fat Free Beef Gravy,na,06317
Sausage gravy,na,06319
CAMPBELL'S Country Style Sausage Gravy,na,06319
Campbell's Fat Free Chicken Gravy,na,06320
Campbell's Golden Pork Gravy,na,06321
Campbell's Mushroom Gravy,na,06322
Mushroom gravy,na,06322
Campbell's Fat Free Turkey Gravy,na,06323
Campbell's Microwavable Beef Gravy,na,06324
Campbell's Microwavable Chicken Gravy,na,06325
Franco-American Fat Free Slow Roast Gravy,na,06327
Franco-American Fat Free Slow Roast Beef Gravy,na,06327
FRANCO-AMERICAN Slow Roast Beef Gravy,na,06329
FRANCO-AMERICAN Slow Roast Turkey Gravy,na,06331
Campbell's Microwavable Turkey Gravy,na,06332
Campbell's Red and White Cream of Chicken Soup,na,06336
CAMPBELL'S Red and White Cream of Mushroom Condensed Soup,na,06338
Campbell's Red and White Cream of Mushroom Soup,na,06338
CAMPBELL'S Red and White Cream of Onion Soup,na,06340
CAMPBELL'S Red and White Cream of Shrimp Soup,na,06342
Campbell's Red and White Creamy Chicken Noodle Soup,na,06343
Campbell's Red and White Condensed Tomato Soup,na,06351
Campbell's Red and White Fiesta Nacho Cheese Soup,na,06353
French onion soup,na,06354
CAMPBELL'S Red and White Golden Mushroom Soup,na,06355
Campbell's Tomato Bisque,na,06358
Pea soup,na,06361
Campbell's Red and White Green Pea Soup,na,06361
Campbell's Red and White Manhattan Clam Chowder,na,06364
CAMPBELL'S Red and White Mega Noodle in Chicken Broth condensed,na,06365
Campbell's Red and White Souper Shapes Soup - Cars,na,06366
Campbell's Red and White Minestrone Soup,na,06366
Campbell's Red and White Soup,na,06366
Campbell's Condensed Vegetable Soup,na,06375
Campbell's Soup at Hand 25% Less Sodium Classic Tomato,na,06377
CAMPBELL'S Red and White Microwaveable Bowls Tomato Soup,na,06377
Campbell's Red and White Condensed Split Pea with Ham and Bacon Soup,na,06380
Campbell's Chunky Beef Rib Roast with Potatoes & Herbs Soup,na,06387
CAMPBELL'S CHUNKY Soups Beef with Country Vegetables Soup,na,06388
Campbell's Chunky Beef with White and Wild Rice Soup,na,06389
Campbell's Chunky Chicken and Dumplings Soup,na,06391
Campbell's Chunky Soups Chicken Broccoli Cheese & Potato Soup,na,06392
Campbell's Chunky Chicken Corn Chowder Soup,na,06393
Corn chowder,na,06393
CAMPBELL'S CHUNKY Soups Classic Chicken Noodle Soup,na,06395
Campbell's Chunky Soup Firehouse - Hot & Spicy Beef &amp,na,06398
Healthy Request Grilled Chicken & Sausage Gumbo,na,06399
Campbell's Chunky Grilled Chicken & Sausage Gumbo Soup,na,06399
CAMPBELL'S CHUNKY Soups Grilled Chicken with Vegetables & Pasta Soup,na,06400
Campbell's Chunky Grilled Sirloin Steak with Hearty Vegetables Soup,na,06403
Campbell's Healthy Request Vegetable Soup,na,06408
Beef noodle soup,na,06409
Campbell's Chunky Soups Hearty Bean 'N' Ham Soup,na,06414
Campbell's Chunky Fully Loaded Beef Stew,na,06415
Campbell's Chunky Soups Hearty Beef Barley Soup,na,06415
Campbell's Chunky Healthy Request Beef Barley Soup,na,06415
Chicken soup,na,06417
Gumbo,na,06417
CAMPBELL'S CHUNKY Hearty Vegetable with Pasta Soup,na,06418
Campbell's CHUNKY Manhattan Clam Chowder,na,06429
Campbell's Condensed Soups New England Clam Chowder,na,06431
Bouillon,na,06432
CAMPBELL'S CHUNKY Old Fashioned Potato Ham Chowder,na,06433
CAMPBELL'S CHUNKY Soups Old Fashioned Vegetable Beef Soup,na,06434
Campbell's Chunky Soups Savory Chicken with White and Wild Rice Soup,na,06439
Campbell's Chunky Savory Pot Roast Soup,na,06441
Campbell's Chunky Savory Vegetable Soup,na,06447
Campbell's Chunky Slow Roasted Beef with Mushrooms Soup,na,06457
Campbell's Select Split Pea with Roasted Ham Soup,na,06459
Campbell's Chunky Soups Split Pea 'N' Ham Soup,na,06459
Campbell's Chunky Split Pea 'N' Ham Soup,na,06459
Campbell's Chunky Soups Steak 'N' Potato Soup,na,06462
Campbell's Low Sodium Chicken Broth,na,06470
Campbell's Low Sodium Chicken with Noodles Soup,na,06482
Campbell's Microwaveable Bowls Chicken Noodle Soup,na,06497
CAMPBELL'S Red and White Vegetable Beef Soup,na,06505
Campbell's Select Healthy Request Mexican Style Tortilla Microwaveable Bowls,na,06537
Campbell's Soup at Hand Italian Style Wedding Soup,na,06541
CAMPBELL'S SELECT Soup Italian-Style Wedding Soup,na,06541
CAMPBELL'S SELECT Soup Mexican Style Chicken Tortilla Soup,na,06543
Campbell's Select Soup Minestrone Soup,na,06544
Campbell's Select Soup New England Clam Chowder,na,06545
Campbell's Select Soup Vegetable Medley Soup,na,06580
Instant noodle,na,06583
Campbell's Soup At Hand Chicken & Stars Soup,na,06586
Pace Chipotle Chunky Salsa,na,06597
Pace Cilantro Chunky Salsa,na,06598
PACE Enchilada Sauce,na,06599
Enchilada sauce,na,06599
Green sauce,na,06600
Pace Green Taco Sauce,na,06600
Pace Lime & Garlic Chunky Salsa,na,06601
PACE Organic Picante Sauce,na,06602
PACE Picante Sauce,na,06603
Pace Red Taco Sauce,na,06604
Pace Thick and Chunky Salsa,na,06605
SWANSON Certified Organic Vegetable Broth,na,06609
Swanson Broth Vegetable Broth,na,06615
Corn soup,na,06619
Masala,na,06622
Marinara sauce,na,06931
Strega,na,06931
PREGO Pasta Traditional Italian Sauce,na,06932
Beef Stroganoff,na,06980
Bouillon cube,na,06981
Swanson Chicken Broth 99% Fat Free Soup,na,06984
Heinz Homestyle Gravy Savory Beef,na,06985
Campbell's Healthy Request Chicken Noodle Soup,na,06986
Campbell's Condensed Healthy Request Cream of Celery Soup,na,06987
Healthy Request Cream of Mushroom Soup,na,06988
Healthy Request Homestyle Chicken Noodle Soup,na,06989
Healthy Request Minestrone Soup,na,06990
PREGO Pasta Chunky Garden Combination Italian Sauce,na,06994
