Feature,Count,Mean,Variance
 top round cap-off steak/roast,2,129.0,0.0
 slow roasted,2,166.0,4.0
 retail cuts,2,677.0,9.0
 separable fat,2,677.0,9.0
 top sirloin petite roast,3,169.0,10.0
 manufacturing beef,2,122.0,12.0
 top sirloin filet,3,170.0,14.0
 shoulder pot roast or steak,6,126.0,16.0
 top sirloin petite roast/filet,3,127.0,16.0
 tripe,2,89.0,20.0
 bottom round steak/roast,2,135.0,25.0
 ribeye  petite roast/filet,3,132.0,28.0
 shoulder steak,6,177.0,28.0
 shoulder pot roast,6,199.0,29.0
 carcass,2,284.0,42.0
 inside skirt steak,2,212.0,56.0
 sweetbread,2,310.0,56.0
 ribeye filet,3,197.0,81.0
 ribeye petite roast,3,176.0,96.0
 80% lean meat / 20% fat,5,259.0,101.0
 outside skirt steak,2,244.0,121.0
 tripe uncooked,2,90.0,169.0
 lungs,2,106.0,196.0
 85% lean meat / 15% fat,5,237.0,210.0
 shoulder tender,6,160.0,279.0
 75% lean meat / 25% fat,5,270.0,279.0
 medallion,6,160.0,279.0
 oyster blade,4,181.0,291.0
 eye of round steak,12,139.0,310.0
 pancreas,2,253.0,324.0
 90% lean meat / 10% fat,5,208.0,328.0
 tip center,6,159.0,332.0
 plate,4,228.0,336.0
 top round roast,12,140.0,337.0
 97% lean meat / 3% fat,4,143.0,345.0
 tenderloin roast,12,161.0,347.0
 shoulder top and center steaks,6,161.0,393.0
 top loin petite roast,6,210.0,396.0
 tip side,6,148.0,397.0
 spleen,2,125.0,400.0
 93% lean meat / 7% fat,4,179.0,408.0
 knuckle,13,155.0,408.0
 top blade,12,202.0,409.0
 95% lean meat / 5% fat,5,167.0,415.0
 intermuscular fat,2,581.0,441.0
 full cut,6,199.0,448.0
 breakfast strips,2,427.0,462.0
 eye of round roast,12,143.0,463.0
 outside round,6,160.0,477.0
 eye round,4,144.0,496.0
 liver,5,156.0,517.0
 subcutaneous fat,2,708.0,529.0
 brain,3,163.0,544.0
 top loin petite roast/filet,6,163.0,549.0
 tongue,4,255.0,550.0
 rump centre,4,166.0,556.0
 top loin filet,6,215.0,589.0
 corned beef,3,233.0,612.0
 clod roast,8,179.0,642.0
 ribs prepared,2,171.0,650.0
 tri-tip roast,11,172.0,652.0
 Denver Cut,12,198.0,662.0
