Feature,Count,Mean,Variance
 creamed,2,97.0,0.0
 part-skim,2,302.0,2.0
 1% milkfat,4,71.0,6.0
 lowfat,5,73.0,20.0
 low moisture,3,307.0,54.0
 mexican,3,367.0,68.0
 cottage,9,80.0,136.0
 large or small curd,2,85.0,169.0
 with vegetables,2,81.0,196.0
 nonfat or fat free,3,136.0,206.0
 reduced fat,4,282.0,270.0
 ricotta,2,156.0,324.0
 monterey,2,343.0,900.0
 nonfat,2,106.0,1190.0
 provolone,2,312.0,1482.0
 muenster,2,319.0,2352.0
 low fat,7,211.0,2806.0
 shredded,2,359.0,3080.0
 mozzarella,7,271.0,3186.0
 part skim milk,2,196.0,3364.0
 low sodium,4,370.0,3678.0
 whole milk,3,264.0,4104.0
 parmesan,5,388.0,4173.0
 goat,3,360.0,5898.0
 swiss,5,286.0,8994.0
 cream,3,216.0,9474.0
 pasteurized process,8,289.0,9597.0
 cheddar,4,320.0,10546.0
 American,4,260.0,11977.0
 cheddar or colby,2,285.0,12656.0
 cheddar or American,2,262.0,12996.0
