Feature,Count,Mean,Variance
 cheshire,1,387.0,0.0
 fresh,1,299.0,0.0
 brick,1,371.0,0.0
 fat-free,1,148.0,0.0
 tilsit,1,340.0,0.0
 port de salut,1,352.0,0.0
 queso chihuahua,1,374.0,0.0
 pimento,1,375.0,0.0
 queso fresco,1,299.0,0.0
 romano,1,387.0,0.0
 hard,1,392.0,0.0
 american cheddar,1,239.0,0.0
 roquefort,1,369.0,0.0
 gouda,1,356.0,0.0
 limburger,1,327.0,0.0
 queso anejo,1,373.0,0.0
 dry,1,72.0,0.0
 queso blanco,1,310.0,0.0
 queso asadero,1,356.0,0.0
 feta,1,264.0,0.0
 queso seco,1,325.0,0.0
 edam,1,357.0,0.0
 soft type,1,264.0,0.0
 neufchatel,1,253.0,0.0
 creamed,2,97.0,0.0
 camembert,1,300.0,0.0
 colby,1,394.0,0.0
 Mexican,1,282.0,0.0
 gjetost,1,466.0,0.0
 Mexican blend,1,358.0,0.0
 fontina,1,389.0,0.0
 gruyere,1,413.0,0.0
 imitation,1,239.0,0.0
 caraway,1,376.0,0.0
 Swiss,1,127.0,0.0
 dry grated,1,265.0,0.0
 sharp,1,410.0,0.0
 white,1,310.0,0.0
 uncreamed,1,72.0,0.0
 dry white,1,325.0,0.0
 grated,1,420.0,0.0
 2% milkfat,1,81.0,0.0
 fat free,1,105.0,0.0
 with fruit,1,97.0,0.0
 fortified with vitamin D,1,366.0,0.0
 semisoft type,1,364.0,0.0
 hard type,1,452.0,0.0
 low-sodium,1,398.0,0.0
 no sodium added,1,72.0,0.0
 sliced,1,410.0,0.0
 without added vitamin D,1,371.0,0.0
 blend,1,282.0,0.0
 brie,1,334.0,0.0
 blue,1,353.0,0.0
 lactose reduced,1,74.0,0.0
 part-skim,2,302.0,2.0
 1% milkfat,4,71.0,6.0
 lowfat,5,73.0,20.0
 low moisture,3,307.0,54.0
 mexican,3,367.0,68.0
 cottage,9,80.0,136.0
 large or small curd,2,85.0,169.0
 with vegetables,2,81.0,196.0
 nonfat or fat free,3,136.0,206.0
 reduced fat,4,282.0,270.0
 ricotta,2,156.0,324.0
 monterey,2,343.0,900.0
 nonfat,2,106.0,1190.0
 provolone,2,312.0,1482.0
 muenster,2,319.0,2352.0
 low fat,7,211.0,2806.0
 shredded,2,359.0,3080.0
 mozzarella,7,271.0,3186.0
 part skim milk,2,196.0,3364.0
 low sodium,4,370.0,3678.0
 whole milk,3,264.0,4104.0
 parmesan,5,388.0,4173.0
 goat,3,360.0,5898.0
 swiss,5,286.0,8994.0
 cream,3,216.0,9474.0
 pasteurized process,8,289.0,9597.0
 cheddar,4,320.0,10546.0
 American,4,260.0,11977.0
 cheddar or colby,2,285.0,12656.0
 cheddar or American,2,262.0,12996.0
